UserId,UserName,Followers,TotalTweets,TotalLikes,AverageLikes,MeanLikes,TotalReplies,AverageReplies,MeanReplies,TotalRetweets,AverageRetweets,MeanRetweets,LogFollowers,LogRetweets,PopularityCluster
68920005,Martina Renner,27927,1,952,952.0,952.0,0,0.0,0.0,161,161.0,161.0,10.24,5.09,9
1266682928999907328,Collectif Pro-Science,27783,6,1321,248.0,220.17,3,0.5,0.5,927,181.0,154.5,10.23,6.83,9
16697497,Janosch Dahmen,27240,4,8417,1021.0,2104.25,1,0.0,0.25,1407,235.5,351.75,10.21,7.25,9
1250280641238724608,Zacki,26561,6,2281,408.5,380.17,3,0.5,0.5,425,66.5,70.83,10.19,6.05,9
1171185771845472256,Mayor Quinton Lucas,26474,1,884,884.0,884.0,0,0.0,0.0,83,83.0,83.0,10.18,4.43,9
1205638720457715713,Informed NJ Nurses,25992,1,227,227.0,227.0,0,0.0,0.0,61,61.0,61.0,10.17,4.13,9
420405468,Peter Rabl,25860,2,0,0.0,0.0,2,1.0,1.0,57,28.5,28.5,10.16,4.06,9
95378571,____??????____,25775,1,0,0.0,0.0,1,1.0,1.0,1511,1511.0,1511.0,10.16,7.32,9
3324535449,Annette Creft,25740,1,562,562.0,562.0,0,0.0,0.0,54,54.0,54.0,10.16,4.01,9
3182205378,JJensen,25720,1,0,0.0,0.0,1,1.0,1.0,1511,1511.0,1511.0,10.16,7.32,9
2649255573,Herr Balsam,25643,1,1439,1439.0,1439.0,0,0.0,0.0,76,76.0,76.0,10.15,4.34,9
468535828,Rachel McKibbens,25328,1,2438,2438.0,2438.0,1,1.0,1.0,270,270.0,270.0,10.14,5.6,9
86711514,RA'in Nina Diercks ??,25110,2,13035,6517.5,6517.5,1,0.5,0.5,2163,1081.5,1081.5,10.13,7.68,9
17177278,Pavel Mayer,25040,2,244,122.0,122.0,1,0.5,0.5,43,21.5,21.5,10.13,3.78,9
2970783018,Taylor Nieman,24533,1,7842,7842.0,7842.0,0,0.0,0.0,1057,1057.0,1057.0,10.11,6.96,9
467463940,Reto Lipp,24447,3,236,2.0,78.67,1,0.0,0.33,57,2.0,19.0,10.1,4.06,9
207268637,Dr. Mobeen Syed,24398,2,219,109.5,109.5,0,0.0,0.0,95,47.5,47.5,10.1,4.56,9
775844354174947328,Kim,23932,1,0,0.0,0.0,1,1.0,1.0,1036,1036.0,1036.0,10.08,6.94,9
1329389460648288257,RKI für Euch,23915,2,239,119.5,119.5,0,0.0,0.0,73,36.5,36.5,10.08,4.3,9
767484390343577600,Andrew G M R ??????,23719,1,0,0.0,0.0,1,1.0,1.0,832,832.0,832.0,10.07,6.73,9
33905880,Neesie ??,23461,1,0,0.0,0.0,1,1.0,1.0,1511,1511.0,1511.0,10.06,7.32,9
1298662987373449216,Bissiges Mäuschen ?,23076,5,971,140.0,194.2,4,1.0,0.8,840,22.0,168.0,10.05,6.73,9
1139480068428828673,Aya Velázquez,23018,1,526,526.0,526.0,1,1.0,1.0,140,140.0,140.0,10.04,4.95,9
1281998654723612677,Merissa Hansen @ merissa.substack.com,22838,1,524,524.0,524.0,0,0.0,0.0,259,259.0,259.0,10.04,5.56,9
